ma_nhan_vien,ho_ten,ho_ten_chuan,don_vi,chuc_vu,email
NV000035,Võ Thành Long,vo thanh long,Phòng Đào tạo - Cục Kỹ thuật (BQP),Thành viên,nv000035@donvi.gov.vn
NV000036,Đặng Thành Thắng,dang thanh thang,Phòng Truyền thông - Cục Tham mưu (BQP),Phó trưởng phòng,nv000036@donvi.gov.vn
NV000037,Bùi Hữu Tâm,bui huu tam,Phòng Tác chiến - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000037@donvi.gov.vn
NV000038,Bùi Diệu Nhung,bui dieu nhung,Phòng Tác chiến - Cục Tham mưu (CA),Phó trưởng phòng,nv000038@donvi.gov.vn
NV000039,Bùi Thành Cường,bui thanh cuong,Phòng Pháp chế - Cục Chính trị (BQP),Nhân viên,nv000039@donvi.gov.vn
NV000040,Hồ Ngọc Dung,ho ngoc dung,Phòng Tác chiến - Cục Quân huấn (CA),Chuyên viên,nv000040@donvi.gov.vn
NV000041,Hồ Hữu Giang,ho huu giang,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Thành viên,nv000041@donvi.gov.vn
NV000042,Trần Bích Vy,tran bich vy,Phòng Tác chiến - Cục Kỹ thuật (BQP),Nhân viên,nv000042@donvi.gov.vn
NV000043,Lý Thành Đạt,ly thanh dat,Phòng Thanh tra - Cục Chính trị (BQP),Phó trưởng phòng,nv000043@donvi.gov.vn
NV000044,Lê Minh Phong,le minh phong,Phòng Hành chính - Cục Tham mưu (CA),Trưởng nhóm,nv000044@donvi.gov.vn
NV000045,Phan Văn Hải,phan van hai,Phòng Truyền thông - Cục Chính trị (CA),Trưởng phòng,nv000045@donvi.gov.vn
NV000046,Phạm Văn Nam,pham van nam,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng phòng,nv000046@donvi.gov.vn
NV000047,Đỗ Thu Trang,do thu trang,Phòng Hành chính - Cục Tham mưu (CA),Phó trưởng phòng,nv000047@donvi.gov.vn
NV000048,Đặng Đức Giang,dang duc giang,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv000048@donvi.gov.vn
NV000049,Hoàng Kim Xuân,hoang kim xuan,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên chính,nv000049@donvi.gov.vn
NV000050,Võ Bích Lan,vo bich lan,Phòng Hành chính - Cục Tham mưu (BQP),Trưởng phòng,nv000050@donvi.gov.vn
NV000051,Dương Hữu Đạt,duong huu dat,Phòng Nhân sự - Cục Tham mưu (CA),Nhân viên,nv000051@donvi.gov.vn
NV000052,Đỗ Diệu Thảo,do dieu thao,Phòng Tác chiến - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000052@donvi.gov.vn
NV000053,Bùi Ngọc Thảo,bui ngoc thao,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv000053@donvi.gov.vn
NV000054,Vũ Thị Hà,vu thi ha,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv000054@donvi.gov.vn
NV000055,Vũ Thu Nga,vu thu nga,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv000055@donvi.gov.vn
NV000056,Trần Thành Tuấn,tran thanh tuan,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Thành viên,nv000056@donvi.gov.vn
NV000057,Hồ Diệu Vy,ho dieu vy,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên,nv000057@donvi.gov.vn
NV000058,Bùi Thị Thảo,bui thi thao,Phòng Nhân sự - Cục Tham mưu (CA),Trưởng nhóm,nv000058@donvi.gov.vn
NV000059,Lý Ngọc Trang,ly ngoc trang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000059@donvi.gov.vn
NV000060,Dương Ngọc Xuân,duong ngoc xuan,Phòng Nhân sự - Cục Tác chiến (BQP),Nhân viên,nv000060@donvi.gov.vn
NV000061,Hoàng Thành Phong,hoang thanh phong,Phòng Pháp chế - Cục Tham mưu (CA),Chuyên viên,nv000061@donvi.gov.vn
NV000062,Vũ Bích Chi,vu bich chi,Phòng Công nghệ - Cục Tác chiến (BQP),Chuyên viên,nv000062@donvi.gov.vn
NV000063,Bùi Thành Sơn,bui thanh son,Phòng Nhân sự - Cục Tác chiến (BQP),Chuyên viên chính,nv000063@donvi.gov.vn
NV000064,Phan Kim Lan,phan kim lan,Phòng Đào tạo - Cục Kỹ thuật (BQP),Trưởng phòng,nv000064@donvi.gov.vn
NV000065,Hoàng Thị Mai,hoang thi mai,Phòng Nhân sự - Cục Tham mưu (BQP),Trưởng nhóm,nv000065@donvi.gov.vn
NV000066,Nguyễn Quốc Đạt,nguyen quoc dat,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv000066@donvi.gov.vn
NV000067,Hồ Văn Phong,ho van phong,Phòng Công nghệ - Cục Tác chiến (BQP),Chuyên viên,nv000067@donvi.gov.vn
NV000068,Lê Thành Khang,le thanh khang,Phòng Kỹ thuật - Cục Tham mưu (BQP),Trưởng nhóm,nv000068@donvi.gov.vn
NV000069,Bùi Văn Khang,bui van khang,Phòng Công nghệ - Cục Chính trị (BQP),Chuyên viên,nv000069@donvi.gov.vn
NV000070,Đỗ Minh Cường,do minh cuong,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv000070@donvi.gov.vn
NV000071,Nguyễn Quốc Nam,nguyen quoc nam,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv000071@donvi.gov.vn
NV000072,Đặng Công Cường,dang cong cuong,Phòng Nhân sự - Cục Tác chiến (BQP),Phó trưởng phòng,nv000072@donvi.gov.vn
NV000073,Bùi Diệu Thủy,bui dieu thuy,Phòng Nhân sự - Cục Tham mưu (CA),Trưởng phòng,nv000073@donvi.gov.vn
NV000074,Bùi Thành Dũng,bui thanh dung,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên,nv000074@donvi.gov.vn
NV000075,Lý Minh Nam,ly minh nam,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv000075@donvi.gov.vn
NV000076,Huỳnh Đức Tâm,huynh duc tam,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv000076@donvi.gov.vn
NV000077,Trần Diệu Trang,tran dieu trang,Phòng Kỹ thuật - Cục Tham mưu (BQP),Thành viên,nv000077@donvi.gov.vn
NV000078,Phạm Ngọc Thủy,pham ngoc thuy,Phòng Tác chiến - Cục Chính trị (CA),Trưởng nhóm,nv000078@donvi.gov.vn
NV000079,Đỗ Diệu Dung,do dieu dung,Phòng Kỹ thuật - Cục Tham mưu (BQP),Thành viên,nv000079@donvi.gov.vn
NV000080,Võ Thị Phương,vo thi phuong,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv000080@donvi.gov.vn
NV000081,Hoàng Thị Xuân,hoang thi xuan,Phòng Hành chính - Cục Tham mưu (BQP),Trưởng phòng,nv000081@donvi.gov.vn
NV000082,Phan Bích Thảo,phan bich thao,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng nhóm,nv000082@donvi.gov.vn
NV000083,Lê Bích Yến,le bich yen,Phòng Kỹ thuật - Cục Tham mưu (BQP),Thành viên,nv000083@donvi.gov.vn
NV000084,Đỗ Minh Tuấn,do minh tuan,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv000084@donvi.gov.vn
NV000085,Đỗ Quốc Đạt,do quoc dat,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên,nv000085@donvi.gov.vn
NV000086,Đỗ Minh Thắng,do minh thang,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv000086@donvi.gov.vn
NV000087,Đỗ Kim Dung,do kim dung,Phòng Đào tạo - Cục Tham mưu (BQP),Chuyên viên chính,nv000087@donvi.gov.vn
NV000088,Phạm Văn Giang,pham van giang,Phòng Tác chiến - Cục Quân huấn (CA),Thành viên,nv000088@donvi.gov.vn
NV000089,Võ Công Cường,vo cong cuong,Phòng Công nghệ - Cục Chính trị (CA),Nhân viên,nv000089@donvi.gov.vn
NV000090,Võ Quốc Đạt,vo quoc dat,Phòng Nhân sự - Cục Tác chiến (BQP),Nhân viên,nv000090@donvi.gov.vn
NV000091,Trần Công Hùng,tran cong hung,Phòng Hành chính - Cục Tham mưu (BQP),Phó trưởng phòng,nv000091@donvi.gov.vn
NV000092,Bùi Thị Anh,bui thi anh,Phòng Tác chiến - Cục Tham mưu (CA),Thành viên,nv000092@donvi.gov.vn
NV000093,Nguyễn Thành Quang,nguyen thanh quang,Phòng Hành chính - Cục Tham mưu (BQP),Trưởng nhóm,nv000093@donvi.gov.vn
NV000094,Đỗ Hồng Thảo,do hong thao,Phòng Nhân sự - Cục Tham mưu (CA),Phó trưởng phòng,nv000094@donvi.gov.vn
NV000095,Võ Bích Nga,vo bich nga,Phòng Tác chiến - Cục Quân huấn (CA),Nhân viên,nv000095@donvi.gov.vn
NV000096,Võ Hữu Khang,vo huu khang,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên,nv000096@donvi.gov.vn
NV000097,Huỳnh Ngọc Lan,huynh ngoc lan,Phòng Thanh tra - Cục Tham mưu (CA),Trưởng phòng,nv000097@donvi.gov.vn
NV000098,Võ Kim Vy,vo kim vy,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên chính,nv000098@donvi.gov.vn
NV000099,Phan Kim Lan,phan kim lan,Phòng Nhân sự - Cục Tác chiến (BQP),Thành viên,nv000099@donvi.gov.vn
NV000100,Huỳnh Diệu Vy,huynh dieu vy,Phòng Đào tạo - Cục Tham mưu (BQP),Chuyên viên chính,nv000100@donvi.gov.vn
NV000101,Đỗ Kim Mai,do kim mai,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv000101@donvi.gov.vn
NV000102,Hoàng Bích Anh,hoang bich anh,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv000102@donvi.gov.vn
NV000103,Vũ Thu Linh,vu thu linh,Phòng Tác chiến - Cục Quân huấn (CA),Phó trưởng phòng,nv000103@donvi.gov.vn
NV000104,Huỳnh Đức Bình,huynh duc binh,Phòng Nhân sự - Cục Chính trị (CA),Chuyên viên,nv000104@donvi.gov.vn
NV000105,Lê Công Bình,le cong binh,Phòng Tác chiến - Cục Quân huấn (CA),Chuyên viên,nv000105@donvi.gov.vn
NV000106,Phạm Bích Anh,pham bich anh,Phòng Tác chiến - Cục Chính trị (CA),Trưởng phòng,nv000106@donvi.gov.vn
NV000107,Phan Thành Thắng,phan thanh thang,Phòng Đào tạo - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000107@donvi.gov.vn
NV000108,Huỳnh Thu Phương,huynh thu phuong,Phòng Công nghệ - Cục Chính trị (BQP),Nhân viên,nv000108@donvi.gov.vn
NV000109,Phạm Kim Trang,pham kim trang,Phòng Truyền thông - Cục Chính trị (CA),Trưởng nhóm,nv000109@donvi.gov.vn
NV000110,Lê Diệu Vy,le dieu vy,Phòng Nhân sự - Cục Quân huấn (CA),Trưởng nhóm,nv000110@donvi.gov.vn
NV000111,Đỗ Diệu Chi,do dieu chi,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv000111@donvi.gov.vn
NV000112,Phan Bích Nhung,phan bich nhung,Phòng Nhân sự - Cục Tham mưu (CA),Thành viên,nv000112@donvi.gov.vn
NV000113,Bùi Đức Tâm,bui duc tam,Phòng Thanh tra - Cục Tham mưu (CA),Trưởng nhóm,nv000113@donvi.gov.vn
NV000114,Ngô Diệu Anh,ngo dieu anh,Phòng Truyền thông - Cục Tham mưu (BQP),Thành viên,nv000114@donvi.gov.vn
NV000115,Hồ Kim Nhung,ho kim nhung,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv000115@donvi.gov.vn
NV000116,Hoàng Thị Hoa,hoang thi hoa,Phòng Nhân sự - Cục Quân huấn (CA),Phó trưởng phòng,nv000116@donvi.gov.vn
NV000117,Đỗ Quốc Hùng,do quoc hung,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000117@donvi.gov.vn
NV000118,Phan Diệu Thủy,phan dieu thuy,Phòng Nhân sự - Cục Tham mưu (CA),Nhân viên,nv000118@donvi.gov.vn
NV000119,Lê Thu Xuân,le thu xuan,Phòng Nhân sự - Cục Tham mưu (CA),Trưởng nhóm,nv000119@donvi.gov.vn
NV000120,Hoàng Hữu Giang,hoang huu giang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv000120@donvi.gov.vn
NV000121,Đỗ Diệu Nhung,do dieu nhung,Phòng Nhân sự - Cục Chính trị (BQP),Chuyên viên,nv000121@donvi.gov.vn
NV000122,Phan Thị Yến,phan thi yen,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Thành viên,nv000122@donvi.gov.vn
NV000123,Vũ Văn Hải,vu van hai,Phòng Truyền thông - Cục Tham mưu (BQP),Trưởng phòng,nv000123@donvi.gov.vn
NV000124,Hoàng Quốc Giang,hoang quoc giang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Thành viên,nv000124@donvi.gov.vn
NV000125,Nguyễn Bích Nga,nguyen bich nga,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng phòng,nv000125@donvi.gov.vn
NV000126,Phạm Văn Thắng,pham van thang,Phòng Thanh tra - Cục Tham mưu (CA),Phó trưởng phòng,nv000126@donvi.gov.vn
NV000127,Nguyễn Kim Lan,nguyen kim lan,Phòng Nhân sự - Cục Quân huấn (CA),Chuyên viên chính,nv000127@donvi.gov.vn
NV000128,Bùi Diệu Yến,bui dieu yen,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv000128@donvi.gov.vn
NV000129,Trần Đức Hùng,tran duc hung,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv000129@donvi.gov.vn
NV000130,Võ Bích Trang,vo bich trang,Phòng Pháp chế - Cục Tác chiến (BQP),Chuyên viên chính,nv000130@donvi.gov.vn
NV000131,Võ Hữu Hải,vo huu hai,Phòng Đào tạo - Cục Chính trị (BQP),Thành viên,nv000131@donvi.gov.vn
NV000132,Ngô Quốc Việt,ngo quoc viet,Phòng Truyền thông - Cục Chính trị (CA),Chuyên viên,nv000132@donvi.gov.vn
NV000133,Vũ Công Dũng,vu cong dung,Phòng Thanh tra - Cục Quân huấn (CA),Thành viên,nv000133@donvi.gov.vn
NV000134,Võ Đức An,vo duc an,Phòng Nhân sự - Cục Tác chiến (BQP),Chuyên viên chính,nv000134@donvi.gov.vn
NV000135,Hồ Thu Trang,ho thu trang,Phòng Tác chiến - Cục Kỹ thuật (BQP),Trưởng phòng,nv000135@donvi.gov.vn
NV000136,Huỳnh Văn Bình,huynh van binh,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng phòng,nv000136@donvi.gov.vn
NV000137,Nguyễn Thành Thắng,nguyen thanh thang,Phòng Thanh tra - Cục Chính trị (BQP),Nhân viên,nv000137@donvi.gov.vn
NV000138,Dương Minh Tâm,duong minh tam,Phòng Thanh tra - Cục Quân huấn (CA),Chuyên viên chính,nv000138@donvi.gov.vn
NV000139,Võ Công Quang,vo cong quang,Phòng Nhân sự - Cục Chính trị (CA),Chuyên viên chính,nv000139@donvi.gov.vn
NV000140,Võ Minh Dũng,vo minh dung,Phòng Công nghệ - Cục Tác chiến (BQP),Nhân viên,nv000140@donvi.gov.vn
NV000141,Đỗ Bích Hoa,do bich hoa,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv000141@donvi.gov.vn
NV000142,Lê Thành Việt,le thanh viet,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng phòng,nv000142@donvi.gov.vn
NV000143,Lê Quốc Bình,le quoc binh,Phòng Tác chiến - Cục Kỹ thuật (BQP),Trưởng phòng,nv000143@donvi.gov.vn
NV000144,Phạm Hữu Giang,pham huu giang,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên,nv000144@donvi.gov.vn
NV000145,Vũ Hữu Nam,vu huu nam,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên chính,nv000145@donvi.gov.vn
NV000146,Hồ Văn Bình,ho van binh,Phòng Đào tạo - Cục Kỹ thuật (BQP),Chuyên viên,nv000146@donvi.gov.vn
NV000147,Trần Minh Quang,tran minh quang,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv000147@donvi.gov.vn
NV000148,Trần Công Hùng,tran cong hung,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Nhân viên,nv000148@donvi.gov.vn
NV000149,Huỳnh Văn Long,huynh van long,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Trưởng phòng,nv000149@donvi.gov.vn
NV000150,Huỳnh Văn Phong,huynh van phong,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng phòng,nv000150@donvi.gov.vn
NV000151,Hoàng Minh Việt,hoang minh viet,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Chuyên viên,nv000151@donvi.gov.vn
NV000152,Nguyễn Công Khang,nguyen cong khang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv000152@donvi.gov.vn
NV000153,Bùi Công Tâm,bui cong tam,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv000153@donvi.gov.vn
NV000154,Trần Bích Xuân,tran bich xuan,Phòng Tác chiến - Cục Tham mưu (CA),Chuyên viên,nv000154@donvi.gov.vn
NV000155,Huỳnh Kim Yến,huynh kim yen,Phòng Pháp chế - Cục Tác chiến (BQP),Chuyên viên,nv000155@donvi.gov.vn
NV000156,Nguyễn Hữu Việt,nguyen huu viet,Phòng Thanh tra - Cục Quân huấn (CA),Chuyên viên,nv000156@donvi.gov.vn
NV000157,Lê Diệu Thủy,le dieu thuy,Phòng Nhân sự - Cục Tham mưu (BQP),Phó trưởng phòng,nv000157@donvi.gov.vn
NV000158,Đặng Hữu An,dang huu an,Phòng Pháp chế - Cục Tham mưu (CA),Chuyên viên chính,nv000158@donvi.gov.vn
NV000159,Lý Ngọc Trang,ly ngoc trang,Phòng Kỹ thuật - Cục Tham mưu (BQP),Chuyên viên chính,nv000159@donvi.gov.vn
NV000160,Trần Thu Thủy,tran thu thuy,Phòng Truyền thông - Cục Tham mưu (CA),Chuyên viên,nv000160@donvi.gov.vn
NV000161,Phạm Văn Long,pham van long,Phòng Truyền thông - Cục Chính trị (CA),Phó trưởng phòng,nv000161@donvi.gov.vn
NV000162,Huỳnh Thị Nga,huynh thi nga,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv000162@donvi.gov.vn
NV000163,Đặng Thành Tâm,dang thanh tam,Phòng Thanh tra - Cục Chính trị (BQP),Trưởng phòng,nv000163@donvi.gov.vn
NV000164,Ngô Hữu Hùng,ngo huu hung,Phòng Nhân sự - Cục Tham mưu (BQP),Phó trưởng phòng,nv000164@donvi.gov.vn
NV000165,Trần Văn Hải,tran van hai,Phòng Thanh tra - Cục Tham mưu (CA),Chuyên viên chính,nv000165@donvi.gov.vn
NV000166,Đặng Công An,dang cong an,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Thành viên,nv000166@donvi.gov.vn
NV000167,Ngô Hồng Huyền,ngo hong huyen,Phòng Tác chiến - Cục Chính trị (BQP),Nhân viên,nv000167@donvi.gov.vn
NV000168,Lý Thành Cường,ly thanh cuong,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Nhân viên,nv000168@donvi.gov.vn
NV000169,Võ Đức Khang,vo duc khang,Phòng Nhân sự - Cục Chính trị (CA),Chuyên viên,nv000169@donvi.gov.vn
NV000170,Hồ Quốc Long,ho quoc long,Phòng Thanh tra - Cục Chính trị (BQP),Nhân viên,nv000170@donvi.gov.vn
NV000171,Phan Hồng Nhung,phan hong nhung,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv000171@donvi.gov.vn
NV000172,Lê Bích Trang,le bich trang,Phòng Thanh tra - Cục Quân huấn (CA),Trưởng phòng,nv000172@donvi.gov.vn
NV000173,Dương Thị Vy,duong thi vy,Phòng Tác chiến - Cục Tham mưu (CA),Thành viên,nv000173@donvi.gov.vn
NV000174,Bùi Văn Tâm,bui van tam,Phòng Đào tạo - Cục Quân huấn (CA),Nhân viên,nv000174@donvi.gov.vn
NV000175,Dương Thành Việt,duong thanh viet,Phòng Tác chiến - Cục Tham mưu (CA),Thành viên,nv000175@donvi.gov.vn
NV000176,Hoàng Đức Hải,hoang duc hai,Phòng Truyền thông - Cục Chính trị (CA),Chuyên viên,nv000176@donvi.gov.vn
NV000177,Dương Kim Linh,duong kim linh,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Thành viên,nv000177@donvi.gov.vn
NV000178,Ngô Đức Nam,ngo duc nam,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv000178@donvi.gov.vn
NV000179,Dương Ngọc Thảo,duong ngoc thao,Phòng Tác chiến - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000179@donvi.gov.vn
NV000180,Ngô Minh Hùng,ngo minh hung,Phòng Đào tạo - Cục Tham mưu (BQP),Nhân viên,nv000180@donvi.gov.vn
NV000181,Hoàng Công Quang,hoang cong quang,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên,nv000181@donvi.gov.vn
NV000182,Phan Ngọc Nhung,phan ngoc nhung,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv000182@donvi.gov.vn
NV000183,Dương Thị Dung,duong thi dung,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng phòng,nv000183@donvi.gov.vn
NV000184,Lý Hồng Xuân,ly hong xuan,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên,nv000184@donvi.gov.vn
NV000185,Trần Bích Nhung,tran bich nhung,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên chính,nv000185@donvi.gov.vn
NV000186,Phạm Đức An,pham duc an,Phòng Công nghệ - Cục Tác chiến (BQP),Nhân viên,nv000186@donvi.gov.vn
NV000187,Dương Công Việt,duong cong viet,Phòng Truyền thông - Cục Tham mưu (CA),Thành viên,nv000187@donvi.gov.vn
